Comment,Device number,H/V,Start,End,Lat,Lon,UTM-X,UTM-Y,Z,ID
Bayrischzell_HV,453000039,HV01,2023026T15:00:00,2023027T17:00:00,47.68410321,11.99315837,148669.7449,172774.0343,16,BE_00039
Bayrischzell_HV,453000617,HV02,2023026T15:00:00,2023027T17:00:00,47.68389062,11.99298889,148628.7192,172802.6156,16,BE_00617
Bayrischzell_HV,453001013,HV03,2023026T15:00:00,2023027T17:00:00,47.68309897,11.99303837,148587.6935,172831.1969,17,BE_01013
Bayrischzell_HV,453001195,HV04,2023026T15:00:00,2023027T17:00:00,47.68269336,11.99294188,148546.6678,172859.7781,17,BE_01195
Bayrischzell_HV,453001250,HV05,2023026T15:00:00,2023027T17:00:00,47.68219124,11.99288188,148374.8548,173016.2865,18.7,BE_01250
Bayrischzell_HV,453001960,HV06,2023026T15:00:00,2023027T17:00:00,47.68168912,11.99282188,148329.96,173053.0078,19.1,BE_01960
Bayrischzell_HV,453001974,HV07,2023026T15:00:00,2023027T17:00:00,47.681187,11.99276188,148286.5309,173091.2206,19.5,BE_01974
Bayrischzell_HV,453002695,HV08,2023026T15:00:00,2023027T17:00:00,47.68068488,11.99270188,148249.0346,173135.4701,19.9,BE_02695
Bayrischzell_HV,453003484,HV09,2023026T15:00:00,2023027T17:00:00,47.68018276,11.99264188,148211.5382,173179.7197,20.3,BE_03484
Bayrischzell_HV,453003625,HV10,2023026T15:00:00,2023027T17:00:00,47.67968064,11.99258188,148174.0419,173223.9692,20.7,BE_03625
Bayrischzell_HV,453003798,HV11,2023026T15:00:00,2023027T17:00:00,47.67917852,11.99252188,148141.9727,173272.2323,21.1,BE_03798
Bayrischzell_HV,453004248,HV12,2023026T15:00:00,2023027T17:00:00,47.6786764,11.99246188,148119.9642,173325.5923,21.5,BE_04248
