Node,lat,lon,Z,Northing,Easting,Station
453000039,47.679284,12.03871898,1069.307,5285128.667,728066.232,N01
453000617,47.67940359,12.0388048,1065.16,5285142.209,728072.151,N02
453001013,47.67953779,12.03891967,1060.51,5285157.461,728080.186,N03
453001195,47.67964764,12.03900613,1056.765,5285169.923,728086.195,N04
453001250,47.6797898,12.03907098,1053.362,5285185.911,728090.442,N05
453001960,47.67992516,12.03911167,1050.49,5285201.073,728092.905,N06
453001974,47.67921975,12.03894305,1069.769,5285122.187,728083.328,N07
453002695,47.67933845,12.03902034,1065.054,5285135.605,728088.61,N08
453003484,47.67946268,12.03912972,1061.417,5285149.733,728096.277,N09
453003625,47.67956575,12.03922157,1058.467,5285161.457,728102.721,N10
453003798,47.67973347,12.03932836,1054.516,5285180.409,728110.003,N11
453004248,47.67990129,12.03938723,1051.387,5285199.232,728113.689,N12
