#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CI|CCA||HHE|35.152519|-118.016487|710.0|0.0|90.0|0.0|PBB-200S,Velocity Transducer,METROZET|626910000.0|0.03|M/S|100.0|2014-03-17T21:00:00|
CI|CCA||HHN|35.152519|-118.016487|710.0|0.0|0.0|0.0|PBB-200S,Velocity Transducer,METROZET|626910000.0|0.03|M/S|100.0|2014-03-17T21:00:00|
CI|CCA||HHZ|35.152519|-118.016487|710.0|0.0|0.0|-90.0|PBB-200S,Velocity Transducer,METROZET|626838000.0|0.03|M/S|100.0|2014-03-17T21:00:00|
CI|CCC||HHE|35.524948|-117.364532|670.0|0.0|90.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-10-19T17:30:00|
CI|CCC||HHN|35.524948|-117.364532|670.0|0.0|0.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-10-19T17:30:00|
CI|CCC||HHZ|35.524948|-117.364532|670.0|0.0|0.0|-90.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-10-19T17:30:00|
CI|CGO||HHE|36.5504|-117.802948|2795.0|0.0|90.0|0.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|629029000.0|0.03|M/S|100.0|2010-07-13T18:30:00|
CI|CGO||HHN|36.5504|-117.802948|2795.0|0.0|0.0|0.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|629866000.0|0.03|M/S|100.0|2010-07-13T18:30:00|
CI|CGO||HHZ|36.5504|-117.802948|2795.0|0.0|0.0|-90.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|630702000.0|0.03|M/S|100.0|2010-07-13T18:30:00|
CI|CLC||HHE|35.81574|-117.59751|775.0|0.0|90.0|0.0|STS-2,Velocity Transducer,STRECKEISEN|627368000.0|0.03|m/s|100.0|2012-04-13T17:28:00|2019-09-26T14:00:00
CI|CLC||HHN|35.81574|-117.59751|775.0|0.0|0.0|0.0|STS-2,Velocity Transducer,STRECKEISEN|627368000.0|0.03|m/s|100.0|2012-04-13T17:28:00|2019-09-26T14:00:00
CI|CLC||HHZ|35.81574|-117.59751|775.0|0.0|0.0|-90.0|STS-2,Velocity Transducer,STRECKEISEN|627368000.0|0.03|m/s|100.0|2012-04-13T17:28:00|2019-09-26T14:00:00
CI|CWC||HHE|36.43988|-118.080162|1595.0|0.0|90.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|629145000.0|1.0|M/S|100.0|2017-06-28T19:00:00|
CI|CWC||HHN|36.43988|-118.080162|1595.0|0.0|0.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|629145000.0|1.0|M/S|100.0|2017-06-28T19:00:00|
CI|CWC||HHZ|36.43988|-118.080162|1595.0|0.0|0.0|-90.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|629145000.0|1.0|M/S|100.0|2017-06-28T19:00:00|
CI|DAW||HHE|36.27148|-117.59214|0.0|0.8|90.0|0.0|Velocity Transducer|314572500.0|1.0|m/s|100.0|2017-12-14T19:45:00|
CI|DAW||HHN|36.27148|-117.59214|0.0|0.8|0.0|0.0|Velocity Transducer|314572500.0|1.0|m/s|100.0|2017-12-14T19:45:00|
CI|DAW||HHZ|36.27148|-117.59214|0.0|0.8|0.0|-90.0|Velocity Transducer|314572500.0|1.0|m/s|100.0|2017-12-14T19:45:00|
CI|DTP||HHE|35.267422|-117.84581|908.0|1.0|90.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-01-03T21:30:00|
CI|DTP||HHN|35.267422|-117.84581|908.0|1.0|0.0|0.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-01-03T21:30:00|
CI|DTP||HHZ|35.267422|-117.84581|908.0|1.0|0.0|-90.0|STS-2,VELOCITY-TRANSDUCER,STRECKEISEN|627368000.0|0.03|M/S|100.0|2017-01-03T21:30:00|
CI|EDW2||HHE|34.8811|-117.993881|772.0|0.0|90.0|0.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|625790000.0|1.0|M/S|100.0|2016-09-12T19:30:00|
CI|EDW2||HHN|34.8811|-117.993881|772.0|0.0|0.0|0.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|629984000.0|1.0|M/S|100.0|2016-09-12T19:30:00|
CI|EDW2||HHZ|34.8811|-117.993881|772.0|0.0|0.0|-90.0|CMG-3T,VELOCITY-TRANSDUCER,GURALP|626628000.0|1.0|M/S|100.0|2016-09-12T19:30:00|
CI|FUR||HHE|36.46719|-116.86322|-38.0|0.0|90.0|0.0|Velocity Sensor|626628420.0|1.0|m/s|100.0|2017-03-22T19:00:00|
CI|FUR||HHN|36.46719|-116.86322|-38.0|0.0|0.0|0.0|Velocity Sensor|633339300.0|1.0|m/s|100.0|2017-03-22T19:00:00|
CI|FUR||HHZ|36.46719|-116.86322|-38.0|0.0|0.0|-90.0|Velocity Sensor|623272980.0|1.0|m/s|100.0|2017-03-22T19:00:00|
CI|GSC||HHE|35.301769|-116.80574|1000.0|0.0|90.0|0.0|STS-1 HORIZONTAL,VELOCITY-TRANSDUCER,STRECKEISEN|2756500000.0|1.0|M/S|100.0|2017-09-28T16:30:00|
CI|GSC||HHN|35.301769|-116.80574|1000.0|0.0|180.0|0.0|STS-1 HORIZONTAL,VELOCITY-TRANSDUCER,STRECKEISEN|3912450000.0|1.0|M/S|100.0|2017-09-28T16:30:00|
CI|GSC||HHZ|35.301769|-116.80574|1000.0|0.0|0.0|-90.0|STS-1 VERTICAL,VELOCITY-TRANSDUCER,STRECKEISEN|3848690000.0|1.0|M/S|100.0|2017-09-28T16:30:00|
CI|HAR||HHE|35.011398|-117.299088|620.0|0.0|90.0|0.0|STS-2.5,VELOCITY-TRANSDUCER,STRECKEISEN|629145000.0|1.0|M/S|100.0|2017-06-07T21:00:00|
